,name,link,orgnr,info1,info2,info3
20,Aspect Properties AB ( publ ),https://kreditrapporten.se/kreditupplysning/5569784258/aspect-properties-ab-(-publ-),5569784258,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-23 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  24 388 tkr - 0 anställda</div>"
21,Lisana Bygg & Badrum AB,https://kreditrapporten.se/kreditupplysning/5567644744/lisana-bygg-och-badrum-ab,5567644744,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-22 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  23 079 tkr - 7 anställda</div>"
22,Peter Lindström Elektronik i Boden AB,https://kreditrapporten.se/kreditupplysning/5567418008/peter-lindstrom-elektronik-i-boden-ab,5567418008,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-28 - <span title=""Företaget har postadress i Boden"">Boden</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Bodens Kommun"">Bodens Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  22 417 tkr - 13 anställda</div>"
23,Möbelhantering i Malmö Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564589017/mobelhantering-i-malmo-aktiebolag,5564589017,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - <span title=""Företaget har postadress i Malmö"">Malmö</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Malmö Kommun"">Malmö Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  22 170 tkr - 19 anställda</div>"
24,KB Nordisk Köttdistribution AB,https://kreditrapporten.se/kreditupplysning/5591372015/kb-nordisk-kottdistribution-ab,5591372015,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-27 - <span title=""Företaget har postadress i Linköping"">Linköping</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  21 534 tkr - 2 anställda</div>"
25,MD Betong & Anläggning AB,https://kreditrapporten.se/kreditupplysning/5569713661/md-betong-och-anlaggning-ab,5569713661,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Kalmar"">Kalmar</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Västerviks Kommun"">Västerviks Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  21 223 tkr - 8 anställda</div>"
26,Kokalite Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564470978/kokalite-aktiebolag,5564470978,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Sollentuna"">Sollentuna</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Sollentuna Kommun"">Sollentuna Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  20 990 tkr - 36 anställda</div>"
27,FECA Bygg AB,https://kreditrapporten.se/kreditupplysning/5569963308/feca-bygg-ab,5569963308,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-22 - <span title=""Företaget har postadress i Perstorp"">Perstorp</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Lidingö Kommun"">Lidingö Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  20 128 tkr - 31 anställda</div>"
28,SMTE Teknik AB,https://kreditrapporten.se/kreditupplysning/5564556529/smte-teknik-ab,5564556529,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-31 - <span title=""Företaget har postadress i Borlänge"">Borlänge</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Borlänge Kommun"">Borlänge Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  19 528 tkr - 5 anställda</div>"
29,IL Handels AB,https://kreditrapporten.se/kreditupplysning/5590539648/il-handels-ab,5590539648,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Östra Göinge Kommun"">Östra Göinge Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  18 622 tkr - 0 anställda</div>"
