name,link,orgnr,info1,info2,date,ort,revenue,employees
Ystt Ab,https://kreditrapporten.se/kreditupplysning/5591040166,5591040166,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-20 - Gnarp</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  9 885 tkr - 14 anställda</div>",2020-01-20,Gnarp,9 885 tkr, 14
HMK Transport Aktiebolag,https://kreditrapporten.se/kreditupplysning/5568150428,5568150428,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Gullspång</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  9 676 tkr - 4 anställda</div>",2020-01-17,Gullspång,9 676 tkr, 4
Ekolorent Bygg & Entreprenad AB,https://kreditrapporten.se/kreditupplysning/5565968616,5565968616,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-09 - Enköping</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  9 588 tkr - 15 anställda</div>",2020-01-09,Enköping,9 588 tkr, 15
Sawadee Noodlecity AB,https://kreditrapporten.se/kreditupplysning/5565517470,5565517470,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - Sollentuna</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  9 488 tkr - 5 anställda</div>",2020-01-02,Sollentuna,9 488 tkr, 5
Viblomman AB,https://kreditrapporten.se/kreditupplysning/5569160442,5569160442,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-13 - Motala</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  9 191 tkr - 6 anställda</div>",2020-01-13,Motala,9 191 tkr, 6
Opatina AB,https://kreditrapporten.se/kreditupplysning/5590839659,5590839659,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-27 - Ystad</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  9 057 tkr - 10 anställda</div>",2020-01-27,Ystad,9 057 tkr, 10
Education & More Scandinavia AB,https://kreditrapporten.se/kreditupplysning/5591343388,5591343388,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-30 - Göteborg</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  8 828 tkr - 5 anställda</div>",2020-01-30,Göteborg,8 828 tkr, 5
Pizzeria Paros Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564613676,5564613676,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-22 - Växjö</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  7 687 tkr - 10 anställda</div>",2020-01-22,Växjö,7 687 tkr, 10
Mälaröarnas Mur och Puts AB,https://kreditrapporten.se/kreditupplysning/5569249609,5569249609,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - Enskededalen</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  7 657 tkr - 10 anställda</div>",2020-01-14,Enskededalen,7 657 tkr, 10
Bygg & Hantverk i Linköping AB,https://kreditrapporten.se/kreditupplysning/5569574352,5569574352,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-10 - Linköping</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  7 604 tkr - 6 anställda</div>",2020-01-10,Linköping,7 604 tkr, 6
Falu köttbullarna AB,https://kreditrapporten.se/kreditupplysning/5569418766,5569418766,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Falun</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  7 423 tkr - 5 anställda</div>",2020-01-15,Falun,7 423 tkr, 5
Kekan 01 AB,https://kreditrapporten.se/kreditupplysning/5569291155,5569291155,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-09 - Malmö</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  7 226 tkr - 8 anställda</div>",2020-01-09,Malmö,7 226 tkr, 8
K.Granath Bygg AB,https://kreditrapporten.se/kreditupplysning/5590246897,5590246897,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Askersund</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 971 tkr - 11 anställda</div>",2020-01-15,Askersund,6 971 tkr, 11
Trailer International Ab,https://kreditrapporten.se/kreditupplysning/5591091292,5591091292,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Stockholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 967 tkr - 0 anställda</div>",2020-01-15,Stockholm,6 967 tkr, 0
Fasadus AB,https://kreditrapporten.se/kreditupplysning/5591125595,5591125595,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-21 - Vällingby</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 914 tkr - 3 anställda</div>",2020-01-21,Vällingby,6 914 tkr, 3
Stellbes Aktiebolag,https://kreditrapporten.se/kreditupplysning/5562935832,5562935832,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-28 - Göteborg</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 818 tkr - 2 anställda</div>",2020-01-28,Göteborg,6 818 tkr, 2
Creative Cosmos AB,https://kreditrapporten.se/kreditupplysning/5566501259,5566501259,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - Tyresö</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 735 tkr - 3 anställda</div>",2020-01-02,Tyresö,6 735 tkr, 3
Neutron EL AB,https://kreditrapporten.se/kreditupplysning/5590682109,5590682109,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - Bromma</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 717 tkr - 8 anställda</div>",2020-01-14,Bromma,6 717 tkr, 8
Attmar Bygg & Skog AB,https://kreditrapporten.se/kreditupplysning/5568185507,5568185507,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-08 - Matfors</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 472 tkr - 4 anställda</div>",2020-01-08,Matfors,6 472 tkr, 4
Insar Transport AB,https://kreditrapporten.se/kreditupplysning/5567995518,5567995518,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - Gullspång</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 462 tkr - 10 anställda</div>",2020-01-02,Gullspång,6 462 tkr, 10
BoSkönt bostäder i Sverige AB,https://kreditrapporten.se/kreditupplysning/5566284435,5566284435,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-08 - Ängelholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 441 tkr - 1 anställda</div>",2020-01-08,Ängelholm,6 441 tkr, 1
Prana Bygg & Inredning Ab,https://kreditrapporten.se/kreditupplysning/5568245335,5568245335,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-30 - Umeå</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 437 tkr - 1 anställda</div>",2020-01-30,Umeå,6 437 tkr, 1
Investvent Stockholm AB,https://kreditrapporten.se/kreditupplysning/5590323043,5590323043,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Norsborg</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 426 tkr - 7 anställda</div>",2020-01-17,Norsborg,6 426 tkr, 7
Bohus Entrepenad AB,https://kreditrapporten.se/kreditupplysning/5590640297,5590640297,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-13 - Munkedal</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 424 tkr - 5 anställda</div>",2020-01-13,Munkedal,6 424 tkr, 5
Cirkusfabriken AB,https://kreditrapporten.se/kreditupplysning/5590365499,5590365499,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-16 - Höganäs</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 368 tkr - 2 anställda</div>",2020-01-16,Höganäs,6 368 tkr, 2
Evedals Värdshus i Växjö AB,https://kreditrapporten.se/kreditupplysning/5567055255,5567055255,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-09 - Växjö</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 337 tkr - 8 anställda</div>",2020-01-09,Växjö,6 337 tkr, 8
AB Framtidsplatsen Sverige,https://kreditrapporten.se/kreditupplysning/5568188964,5568188964,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-03 - Stockholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 304 tkr - 5 anställda</div>",2020-01-03,Stockholm,6 304 tkr, 5
Alvar Karlssons Åkeri Aktiebolag,https://kreditrapporten.se/kreditupplysning/5562836261,5562836261,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Åseda</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 270 tkr - 5 anställda</div>",2020-01-17,Åseda,6 270 tkr, 5
Granlöfs Bygg & Kakel AB,https://kreditrapporten.se/kreditupplysning/5569354169,5569354169,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Östersund</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 255 tkr - 7 anställda</div>",2020-01-15,Östersund,6 255 tkr, 7
EHE Markentreprenad AB,https://kreditrapporten.se/kreditupplysning/5591574354,5591574354,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-07 - Enköping</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 209 tkr - 3 anställda</div>",2020-01-07,Enköping,6 209 tkr, 3
Heca Direct Sverige AB,https://kreditrapporten.se/kreditupplysning/5569720740,5569720740,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - Halmstad</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 146 tkr - 0 anställda</div>",2020-01-14,Halmstad,6 146 tkr, 0
Storstadens Byggare Aktiebolag,https://kreditrapporten.se/kreditupplysning/5568379118,5568379118,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-27 - Järna</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 093 tkr - 4 anställda</div>",2020-01-27,Järna,6 093 tkr, 4
Anders Rowell konsult och försäljnings AB i Sverige,https://kreditrapporten.se/kreditupplysning/5563132652,5563132652,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-07 - Sandared</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 074 tkr - 2 anställda</div>",2020-01-07,Sandared,6 074 tkr, 2
Sevenberg AB,https://kreditrapporten.se/kreditupplysning/5568610678,5568610678,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-23 - Stockholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 056 tkr - 2 anställda</div>",2020-01-23,Stockholm,6 056 tkr, 2
LOZAN Scandinavia Transport AB,https://kreditrapporten.se/kreditupplysning/5567427033,5567427033,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - Norrtälje</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  6 037 tkr - 0 anställda</div>",2020-01-02,Norrtälje,6 037 tkr, 0
Hyresmaskiner i Eskilstuna Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564560166,5564560166,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-10 - Eskilstuna</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 770 tkr - 3 anställda</div>",2020-01-10,Eskilstuna,5 770 tkr, 3
Restaurang Oasen i Jönköping Aktiebolag,https://kreditrapporten.se/kreditupplysning/5565650594,5565650594,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-03 - Jönköping</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 629 tkr - 5 anställda</div>",2020-01-03,Jönköping,5 629 tkr, 5
Örebro Hem & Design AB,https://kreditrapporten.se/kreditupplysning/5567775290,5567775290,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-29 - Örebro</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 348 tkr - 3 anställda</div>",2020-01-29,Örebro,5 348 tkr, 3
Skadehanterings Teknik i Stockholm AB,https://kreditrapporten.se/kreditupplysning/5569090532,5569090532,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Bålsta</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 198 tkr - 6 anställda</div>",2020-01-15,Bålsta,5 198 tkr, 6
Legio Bike Fyra AB,https://kreditrapporten.se/kreditupplysning/5567843569,5567843569,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - Bromma</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 106 tkr - 5 anställda</div>",2020-01-02,Bromma,5 106 tkr, 5
Aktiebolaget Linneskåpet,https://kreditrapporten.se/kreditupplysning/5560844846,5560844846,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-09 - Västerås</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 094 tkr - 4 anställda</div>",2020-01-09,Västerås,5 094 tkr, 4
AB Total Solskyddsmiljö I Malmö,https://kreditrapporten.se/kreditupplysning/5567489017,5567489017,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Malmö</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 022 tkr - 4 anställda</div>",2020-01-17,Malmö,5 022 tkr, 4
Rast I Skåne Ab,https://kreditrapporten.se/kreditupplysning/5569417966,5569417966,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Staffanstorp</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  5 017 tkr - 3 anställda</div>",2020-01-15,Staffanstorp,5 017 tkr, 3
Globen MC AB,https://kreditrapporten.se/kreditupplysning/5565013959,5565013959,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - Johanneshov</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 987 tkr - 3 anställda</div>",2020-01-14,Johanneshov,4 987 tkr, 3
Byggproffset i Dalsland AB,https://kreditrapporten.se/kreditupplysning/5590841911,5590841911,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-22 - Trollhättan</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 940 tkr - 5 anställda</div>",2020-01-22,Trollhättan,4 940 tkr, 5
Brollans Grill Aktiebolag,https://kreditrapporten.se/kreditupplysning/5566165907,5566165907,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-23 - Rättvik</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 757 tkr - 5 anställda</div>",2020-01-23,Rättvik,4 757 tkr, 5
Scandecor Marketing Aktiebolag,https://kreditrapporten.se/kreditupplysning/5560875303,5560875303,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-20 - Uppsala</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 721 tkr - 5 anställda</div>",2020-01-20,Uppsala,4 721 tkr, 5
Proskill Sweden AB,https://kreditrapporten.se/kreditupplysning/5569823619,5569823619,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Göteborg</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 645 tkr - 4 anställda</div>",2020-01-15,Göteborg,4 645 tkr, 4
Modigt Mode AB,https://kreditrapporten.se/kreditupplysning/5568157001,5568157001,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-08 - Västerås</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 590 tkr - 2 anställda</div>",2020-01-08,Västerås,4 590 tkr, 2
Voltdax El Ab,https://kreditrapporten.se/kreditupplysning/5569423675,5569423675,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-13 - Västerhaninge</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 570 tkr - 5 anställda</div>",2020-01-13,Västerhaninge,4 570 tkr, 5
Team 08 Markservice AB,https://kreditrapporten.se/kreditupplysning/5568499742,5568499742,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Värmdö</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 563 tkr - 5 anställda</div>",2020-01-15,Värmdö,4 563 tkr, 5
Ljunum AB,https://kreditrapporten.se/kreditupplysning/5568028335,5568028335,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Bottnaryd</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  4 224 tkr - 5 anställda</div>",2020-01-17,Bottnaryd,4 224 tkr, 5
